Algorithm,Heuristic/Depth Limit,Depth,Nodes Generated,Effective Branching Factor
IDS,N/A,32,345586,1.489635039739028
A*(h2),Manhattan,26,2236,1.3453207428765688
A*(h1),Misplaced Titles,26,42418,1.5065470504761906
IDS,N/A,34,473725,1.4686802144590045
A*(h2),Manhattan,16,217,1.399679923759527
A*(h1),Misplaced Titles,16,607,1.492620125945216
IDS,N/A,16,8920,1.765622291967158
A*(h2),Manhattan,20,609,1.3779417680445973
A*(h1),Misplaced Titles,20,4352,1.5203180242091767
IDS,N/A,20,29290,1.6723838639110855
A*(h2),Manhattan,17,70,1.2839117659850987
A*(h1),Misplaced Titles,17,1208,1.5180918717780305
IDS,N/A,19,22058,1.6928120577603254
A*(h2),Manhattan,23,3295,1.4221658164233162
A*(h1),Misplaced Titles,23,18386,1.5325423669728513
IDS,N/A,37,706376,1.4390704396117313
A*(h2),Manhattan,20,292,1.3282173304519709
A*(h1),Misplaced Titles,20,4608,1.5246691872268057
IDS,N/A,30,298008,1.5222089254575457
A*(h2),Manhattan,25,2973,1.3769805199575709
A*(h1),Misplaced Titles,25,35472,1.5205315189824704
IDS,N/A,35,568526,1.4602305762039323
A*(h2),Manhattan,21,1082,1.3947199478974273
A*(h1),Misplaced Titles,21,8058,1.534655223922555
IDS,N/A,33,425540,1.481064427827495
A*(h2),Manhattan,24,2243,1.3791702689212981
A*(h1),Misplaced Titles,24,20021,1.510875133771121
IDS,N/A,28,292678,1.5675745973575257
