Algorithm,Heuristic/Depth Limit,Depth,Nodes Generated,Effective Branching Factor
A*(h1),Misplaced Titles,20,4687,1.5259656150810843
IDS,N/A,24,122796,1.6294811561488667
A*(h2),Manhattan,20,966,1.4100965704288613
A*(h1),Misplaced Titles,20,5320,1.5356618014230214
IDS,N/A,26,144172,1.5791322281485434
A*(h2),Manhattan,11,29,1.3581422899885798
A*(h1),Misplaced Titles,11,93,1.509916723608039
IDS,N/A,11,2145,2.0084315128465056
A*(h2),Manhattan,18,489,1.410607042455314
A*(h1),Misplaced Titles,18,2066,1.5281778709341005
IDS,N/A,18,89899,1.884554074396466
A*(h2),Manhattan,28,7496,1.3752662037949985
A*(h1),Misplaced Titles,28,86167,1.5005904479129342
IDS,N/A,36,659226,1.450907890141603
A*(h2),Manhattan,23,1203,1.3612083123499292
A*(h1),Misplaced Titles,23,16700,1.5261470035134637
IDS,N/A,31,419206,1.5183385848903443
A*(h2),Manhattan,23,1879,1.3878567520009883
A*(h1),Misplaced Titles,23,18177,1.5317807863046113
IDS,N/A,31,381888,1.5137789157549149
A*(h2),Manhattan,28,10657,1.392656805983215
A*(h1),Misplaced Titles,26,48591,1.5144402639938892
IDS,N/A,26,124930,1.5704555324967986
A*(h2),Manhattan,17,153,1.3443466232094408
A*(h1),Misplaced Titles,17,1084,1.508450746372264
IDS,N/A,19,37025,1.7395908264770987
A*(h2),Manhattan,24,2509,1.3856254799484764
A*(h1),Misplaced Titles,24,21773,1.5161654460498568
IDS,N/A,28,155437,1.5325429596762286
A*(h2),Manhattan,25,2664,1.3709492200412599
A*(h1),Misplaced Titles,23,18147,1.5316707816988449
IDS,N/A,27,149190,1.5546047466846638
A*(h2),Manhattan,24,2460,1.3844872569956526
A*(h1),Misplaced Titles,24,25789,1.5268971023555584
IDS,N/A,28,243529,1.5573162316214997
A*(h2),Manhattan,15,233,1.4382147155719889
A*(h1),Misplaced Titles,15,593,1.5306303233325256
IDS,N/A,19,19966,1.6839574312616452
A*(h2),Manhattan,19,370,1.3651127149691322
A*(h1),Misplaced Titles,19,2456,1.5081101806587904
IDS,N/A,27,166038,1.5607775811755848
A*(h2),Manhattan,19,468,1.3820993267711514
A*(h1),Misplaced Titles,17,1117,1.5111140566402772
IDS,N/A,21,80643,1.71256093108004
A*(h2),Manhattan,24,2181,1.3775604091261107
A*(h1),Misplaced Titles,24,21410,1.5151037082355285
IDS,N/A,24,92790,1.6105685550360382
A*(h2),Manhattan,24,2061,1.3743159377923897
A*(h1),Misplaced Titles,22,12093,1.5330973384313935
IDS,N/A,30,328475,1.5271560278426992
A*(h2),Manhattan,22,1204,1.3804747793319154
A*(h1),Misplaced Titles,22,10212,1.5213611065685093
IDS,N/A,30,388938,1.5357811962629309
A*(h2),Manhattan,25,1153,1.3257852173933327
A*(h1),Misplaced Titles,25,38016,1.52475005171108
IDS,N/A,27,164106,1.5601011528370297
A*(h2),Manhattan,24,1916,1.3701448396244742
A*(h1),Misplaced Titles,24,21000,1.5138835524141896
IDS,N/A,34,503086,1.4712800961321626
A*(h2),Manhattan,28,6629,1.3692422339858652
A*(h1),Misplaced Titles,28,85385,1.5001019334611452
IDS,N/A,34,488991,1.470050920665796
A*(h2),Manhattan,25,4549,1.4006081123876597
A*(h1),Misplaced Titles,25,34401,1.51866800247344
IDS,N/A,31,486081,1.5256053898674953
A*(h2),Manhattan,21,1670,1.4238449167148768
A*(h1),Misplaced Titles,21,8892,1.5418694126040957
IDS,N/A,35,655948,1.4662103096523122
A*(h2),Manhattan,26,4189,1.3781990205497487
A*(h1),Misplaced Titles,26,42823,1.507097767457793
IDS,N/A,38,649327,1.4221963666249262
A*(h2),Manhattan,20,830,1.399438780304128
A*(h1),Misplaced Titles,20,5320,1.5356618014230214
IDS,N/A,24,100911,1.6162086913824483
A*(h2),Manhattan,18,256,1.360790000174377
A*(h1),Misplaced Titles,18,1865,1.5195128593577845
IDS,N/A,20,33469,1.6835737156711947
A*(h2),Manhattan,21,1043,1.3922839740831252
A*(h1),Misplaced Titles,19,3784,1.5428127428080058
IDS,N/A,21,88116,1.7198033824692582
A*(h2),Manhattan,23,1300,1.365805450141833
A*(h1),Misplaced Titles,23,17430,1.5289885537317784
IDS,N/A,25,102785,1.5866355821135272
A*(h2),Manhattan,19,375,1.3660774733876704
A*(h1),Misplaced Titles,19,3506,1.5366290808268355
IDS,N/A,19,28426,1.715560713096769
A*(h2),Manhattan,23,1555,1.3764831095988643
A*(h1),Misplaced Titles,23,19563,1.5366825167455835
IDS,N/A,35,807414,1.4749394075764939
A*(h2),Manhattan,18,456,1.4051421744105719
A*(h1),Misplaced Titles,18,2053,1.527642064095176
IDS,N/A,26,102827,1.5587388235098452
A*(h2),Manhattan,24,1616,1.3604577422390893
A*(h1),Misplaced Titles,24,19239,1.5083690199295663
IDS,N/A,24,131938,1.634363842415265
A*(h2),Manhattan,18,154,1.3229058255986248
A*(h1),Misplaced Titles,18,1305,1.4896679458488742
IDS,N/A,26,115401,1.5656704977814755
A*(h2),Manhattan,24,2046,1.3738977149637754
A*(h1),Misplaced Titles,24,21331,1.5148703567470565
IDS,N/A,36,646513,1.450123277541887
A*(h2),Manhattan,27,2666,1.3393180105633722
A*(h1),Misplaced Titles,27,75027,1.51552677714633
IDS,N/A,35,496885,1.454622055399805
A*(h2),Manhattan,23,954,1.347552150666684
A*(h1),Misplaced Titles,23,17323,1.5285792543315655
IDS,N/A,37,691113,1.4382210813718452
A*(h2),Manhattan,24,2057,1.3742046976475637
A*(h1),Misplaced Titles,24,21270,1.5146896066044087
IDS,N/A,32,340222,1.4889070104907876
A*(h2),Manhattan,18,546,1.4192740360308342
A*(h1),Misplaced Titles,18,2291,1.5369794487769537
IDS,N/A,26,179641,1.5925479517425645
A*(h2),Manhattan,25,3644,1.3882354639819139
A*(h1),Misplaced Titles,25,37706,1.5242507540053127
IDS,N/A,37,679120,1.4375407888604688
A*(h2),Manhattan,19,298,1.349652329535647
A*(h1),Misplaced Titles,19,2522,1.510216513822727
IDS,N/A,21,43037,1.6621076270628201
A*(h2),Manhattan,26,2038,1.3405316860690215
A*(h1),Misplaced Titles,26,43199,1.5076045856120943
IDS,N/A,26,196294,1.5979873871212225
A*(h2),Manhattan,18,123,1.306489246660752
A*(h1),Misplaced Titles,18,1709,1.5121566415259935
IDS,N/A,28,241126,1.5567647938574307
A*(h2),Manhattan,18,553,1.4202788453597943
A*(h1),Misplaced Titles,18,2092,1.5292399987933638
IDS,N/A,24,124094,1.630195222273915
A*(h2),Manhattan,23,2405,1.4028298664794945
A*(h1),Misplaced Titles,23,18377,1.5325097426429348
IDS,N/A,31,415740,1.5179319998079965
A*(h2),Manhattan,20,565,1.3727846752524857
A*(h1),Misplaced Titles,20,4509,1.523014407660377
IDS,N/A,24,241297,1.6759960732372998
A*(h2),Manhattan,26,3724,1.3719760364615574
A*(h1),Misplaced Titles,26,41853,1.5057702595075089
IDS,N/A,32,421285,1.498883917784375
A*(h2),Manhattan,24,2568,1.3869680573431813
A*(h1),Misplaced Titles,22,14047,1.5435707009147068
IDS,N/A,28,208672,1.5487483743265926
A*(h2),Manhattan,20,488,1.3627650630092563
A*(h1),Misplaced Titles,20,4106,1.5159013762788196
IDS,N/A,26,351835,1.6342584241658882
A*(h2),Manhattan,23,2152,1.3960667559767057
A*(h1),Misplaced Titles,23,18115,1.5315532515565458
IDS,N/A,27,384465,1.6100766380371143
A*(h2),Manhattan,22,148,1.2550131020927875
A*(h1),Misplaced Titles,22,9702,1.5178224313922635
IDS,N/A,32,361613,1.491746838460173
A*(h2),Manhattan,24,4206,1.4157760224308464
A*(h1),Misplaced Titles,22,13910,1.542883204267653
IDS,N/A,24,210438,1.666467468954812
A*(h2),Manhattan,21,605,1.3566397617473027
A*(h1),Misplaced Titles,21,8144,1.535431230144897
IDS,N/A,21,59433,1.6878531171930724
A*(h2),Manhattan,22,1255,1.3830804484667427
A*(h1),Misplaced Titles,22,12252,1.5340078794224798
IDS,N/A,26,106665,1.5609373019602695
A*(h2),Manhattan,20,496,1.363873477020449
A*(h1),Misplaced Titles,20,4407,1.5212729831007155
IDS,N/A,24,80569,1.6011192004066372
A*(h2),Manhattan,19,278,1.344726417003128
A*(h1),Misplaced Titles,19,3433,1.5349283053559613
IDS,N/A,25,100275,1.5850673009984138
A*(h2),Manhattan,28,5678,1.3616904973551385
A*(h1),Misplaced Titles,28,84334,1.4994385349529453
IDS,N/A,32,384269,1.494582368807707
A*(h2),Manhattan,22,1087,1.3740749864421915
A*(h1),Misplaced Titles,22,9650,1.5174517047721179
IDS,N/A,24,84530,1.6043241445574783
A*(h2),Manhattan,24,2543,1.3864028155132155
A*(h1),Misplaced Titles,24,23694,1.5215162650485625
IDS,N/A,34,630839,1.4811049699737933
A*(h2),Manhattan,24,2772,1.3913926912345542
A*(h1),Misplaced Titles,24,21650,1.515807596446417
IDS,N/A,24,135475,1.636166381759518
A*(h2),Manhattan,26,2167,1.3436998411414105
A*(h1),Misplaced Titles,26,41408,1.5051513194174753
IDS,N/A,32,384746,1.494640310598535
A*(h2),Manhattan,23,2317,1.4005581075191773
A*(h1),Misplaced Titles,23,19088,1.5350411372456019
IDS,N/A,29,574536,1.5797819463555371
A*(h2),Manhattan,22,502,1.3266588541830742
A*(h1),Misplaced Titles,22,10995,1.5264785023649605
IDS,N/A,30,353029,1.5308301697340172
A*(h2),Manhattan,19,144,1.2989667243872742
A*(h1),Misplaced Titles,19,2278,1.5021501782981894
IDS,N/A,21,48142,1.6710034226959358
A*(h2),Manhattan,22,1337,1.3870652200249225
A*(h1),Misplaced Titles,22,13151,1.5389531502997742
IDS,N/A,38,770709,1.4286247483529826
A*(h2),Manhattan,21,512,1.3459001926323562
A*(h1),Misplaced Titles,21,7479,1.5292156701967707
IDS,N/A,25,138170,1.6055230696829
A*(h2),Manhattan,29,11697,1.3812695269843902
A*(h1),Misplaced Titles,29,103552,1.4891433269278822
IDS,N/A,31,439405,1.520645226742487
