Depth,A*(h1).b*,A*(h2).b*,IDS.b*,A*(h1).total nodes,A*(h2).total nodes,IDS.total nodes
2,1.79,1.79,2.45,6,6,10
4,1.48,1.45,2.87,13,12,112
6,1.34,1.30,2.73,20,18,680
8,1.33,1.24,2.8,39,25,6384
10,1.38,1.22,2.79,93,39,47127
12,1.42,1.24,2.78,227,73,3644035
14,1.44,1.23,,539,113,
16,1.45,1.25,,1301,211,
18,1.46,1.26,,3056,363,
20,1.47,1.27,,7276,676,
22,1.48,1.28,,18094,1219,
24,1.48,1.26,,39135,1641,
