Algorithm,Heuristic/Depth Limit,Depth,Nodes Generated,Effective Branching Factor
A*,Misplaced Titles,29,103107,1.4889221995025619
IDS,N/A,37,31990,1.3236011676849684
A*,Manhattan,27,7710,1.3930444584086765
A*,Misplaced Titles,25,37330,1.5236398384770762
IDS,N/A,31,60060,1.4260932155965291
A*,Manhattan,17,485,1.438748249213293
A*,Misplaced Titles,17,1223,1.519194295585951
IDS,N/A,17,1865,1.5573738305263987
A*,Manhattan,22,833,1.3575523659551896
A*,Misplaced Titles,22,13106,1.5387133958275605
IDS,N/A,22,17325,1.5583570339546355
A*,Manhattan,22,1204,1.3804747793319154
A*,Misplaced Titles,22,9536,1.516632239745795
IDS,N/A,30,21634,1.3947763051347357
A*,Manhattan,24,1064,1.336972787593189
A*,Misplaced Titles,24,29575,1.5356368720784015
IDS,N/A,30,12359,1.3689873793567118
A*,Manhattan,23,1212,1.36164950117982
A*,Misplaced Titles,23,17413,1.5289236857186315
IDS,N/A,25,14828,1.4683963729541067
A*,Manhattan,25,1207,1.3282147254623686
A*,Misplaced Titles,25,34631,1.5190728483286213
IDS,N/A,33,12466,1.3308004624335903
A*,Manhattan,24,1952,1.3712079595134392
A*,Misplaced Titles,24,19861,1.510370100353382
IDS,N/A,30,26922,1.4049803297458294
A*,Manhattan,22,874,1.3605204220220035
A*,Misplaced Titles,22,9099,1.5134018394861544
IDS,N/A,28,30144,1.4453447857993467
A*,Manhattan,29,9459,1.3711914962805398
A*,Misplaced Titles,27,75056,1.5155484691392878
IDS,N/A,33,39601,1.3782386632870152
A*,Manhattan,11,61,1.4531241223714035
A*,Misplaced Titles,11,116,1.5405578064572674
IDS,N/A,11,674,1.8078021546866152
A*,Manhattan,19,416,1.3735580464751418
A*,Misplaced Titles,19,2467,1.5084649320545904
IDS,N/A,19,21330,1.6898245836978216
A*,Manhattan,27,8308,1.39690392165786
A*,Misplaced Titles,27,74846,1.515391206456633
IDS,N/A,37,79248,1.3564540590377754
A*,Manhattan,21,837,1.3777721531570837
A*,Misplaced Titles,21,8265,1.536509940155406
IDS,N/A,29,24477,1.4168911551047767
A*,Manhattan,28,5734,1.3621678685787042
A*,Misplaced Titles,28,80146,1.4967133678829943
IDS,N/A,36,4134,1.2602442811714099
A*,Manhattan,25,4534,1.4004230831855546
A*,Misplaced Titles,25,36081,1.5215672171618657
IDS,N/A,31,5385,1.319352454259647
A*,Manhattan,24,2608,1.3878615673798522
A*,Misplaced Titles,24,20401,1.5120592546809932
IDS,N/A,32,34489,1.386125390466248
A*,Manhattan,22,1323,1.386401705077141
A*,Misplaced Titles,22,12996,1.5381240050571012
IDS,N/A,24,14729,1.4916738829373906
A*,Manhattan,21,850,1.3787836961548836
A*,Misplaced Titles,21,7642,1.5307864898055688
IDS,N/A,29,44673,1.4465930804648424
A*,Manhattan,22,326,1.300879780836593
A*,Misplaced Titles,22,10088,1.5205165084807781
IDS,N/A,24,3868,1.410842723871495
A*,Manhattan,21,452,1.3379354579662202
A*,Misplaced Titles,21,7899,1.533199511066606
IDS,N/A,31,87408,1.4434604098495118
A*,Manhattan,23,2660,1.4089899559912606
A*,Misplaced Titles,23,18738,1.5338065053592698
IDS,N/A,25,31335,1.5130078732187848
A*,Manhattan,23,1196,1.3608629772827383
A*,Misplaced Titles,23,16594,1.525724549179673
IDS,N/A,27,1589,1.3138934401304474
A*,Manhattan,23,2257,1.3989613623494175
A*,Misplaced Titles,23,17272,1.5283833159843376
IDS,N/A,27,20725,1.4450077226232347
A*,Manhattan,26,4189,1.3781990205497487
A*,Misplaced Titles,26,42546,1.5067216487154718
IDS,N/A,32,11345,1.3387905575544168
A*,Manhattan,19,167,1.3091369396399315
A*,Misplaced Titles,19,2387,1.5058499756442376
IDS,N/A,23,4440,1.4407275742574313
A*,Manhattan,21,556,1.351194432907259
A*,Misplaced Titles,21,8150,1.53548507847552
IDS,N/A,39,64475,1.3283659259705578
A*,Manhattan,26,1377,1.3204690563291797
A*,Misplaced Titles,26,43487,1.5079899261648806
IDS,N/A,40,48262,1.3094536570219584
A*,Manhattan,22,450,1.32008096513912
A*,Misplaced Titles,22,8893,1.5118273407467782
IDS,N/A,22,8715,1.51043855667572
A*,Manhattan,18,132,1.3116249304590644
